# This file was produced by samtools stats (1.12+htslib-1.12) and can be plotted using plot-bamstats
# This file contains statistics for all reads.
# The command line was:  stats -@ 12 /data/13000026/shared/13000026_HELIOS/rpd-sg10k-grch38-gatk4-gvcf-freebayes-vcf/MUX9697/WHB10025/WHB10025.bqsr.cram
# CHK, Checksum	[2]Read Names	[3]Sequences	[4]Qualities
# CHK, CRC32 of reads which passed filtering followed by addition (32bit overflow)
CHK	e59a361b	b858cdef	c21f4acf
# Summary Numbers. Use `grep ^SN | cut -f 2-` to extract this part.
SN	raw total sequences:	406416120	# excluding supplementary and secondary reads
SN	filtered sequences:	0
SN	sequences:	406416120
SN	is sorted:	1
SN	1st fragments:	203208060
SN	last fragments:	203208060
SN	reads mapped:	405756875
SN	reads mapped and paired:	405433790	# paired-end technology bit set + both mates mapped
SN	reads unmapped:	659245
SN	reads properly paired:	400305620	# proper-pair bit set
SN	reads paired:	406416120	# paired-end technology bit set
SN	reads duplicated:	56783127	# PCR or optical duplicate bit set
SN	reads MQ0:	24008703	# mapped and MQ=0
SN	reads QC failed:	0
SN	non-primary alignments:	0
SN	supplementary alignments:	1707555
SN	total length:	61368834120	# ignores clipping
SN	total first fragment length:	30684417060	# ignores clipping
SN	total last fragment length:	30684417060	# ignores clipping
SN	bases mapped:	61269288125	# ignores clipping
SN	bases mapped (cigar):	60797354741	# more accurate
SN	bases trimmed:	0
SN	bases duplicated:	8574252177
SN	mismatches:	404832362	# from NM fields
SN	error rate:	6.658717e-03	# mismatches / bases mapped (cigar)
SN	average length:	151
SN	average first fragment length:	151
SN	average last fragment length:	151
SN	maximum length:	151
SN	maximum first fragment length:	151
SN	maximum last fragment length:	151
SN	average quality:	30.6
SN	insert size average:	321.1
SN	insert size standard deviation:	69.4
SN	inward oriented pairs:	200009712
SN	outward oriented pairs:	982613
SN	pairs with other orientation:	119836
SN	pairs on different chromosomes:	1604734
SN	percentage of properly paired reads (%):	98.5
# First Fragment Qualities. Use `grep ^FFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
FFQ	1	0	0	1295279	0	0	0	0	0	0	0	0	0	0	0	3199790	0	0	0	0	0	0	3	0	0	4711779	0	0	0	0	16	0	194001193	0	0	0	0	0	0	0	0
FFQ	2	0	0	61518	0	0	0	0	0	18570	0	16500	0	77372	268832	92210	431392	33877	233968	622016	483613	653062	2341864	338555	297420	303101	193912	618808	808219	10107081	22204131	17060804	10580696	69827234	18521691	33744457	13267157	0	0	0	0
FFQ	3	0	0	10038	0	0	0	0	18286	0	0	14290	92414	211612	80984	258246	272375	255154	441811	441984	528040	447864	539324	1612812	436493	101	398454	390273	625648	2557451	4843420	15661824	28156049	61911583	37149325	43635601	2216604	0	0	0	0
FFQ	4	0	0	40835	0	0	0	0	0	0	28392	0	0	71246	141118	370560	0	178161	213653	415143	572484	353541	438194	196079	1889113	501130	92980	351183	702898	1252123	2088737	1953256	14882276	36327656	56216339	41723672	42207291	0	0	0	0
FFQ	5	0	0	0	0	0	0	0	14406	13326	0	0	116742	196063	181895	124499	3667	335194	431948	325492	363896	246044	70717	271063	1938460	263317	288312	398640	971661	1684245	1057010	821476	17758402	32671042	57990548	41512043	43157944	6	1	1	0
FFQ	6	0	0	0	0	0	0	11535	0	10473	0	47954	156218	51485	241005	15169	146278	348698	219901	319834	313193	85840	1200318	1081931	199450	128190	354595	977604	1154797	1189264	10807696	78705080	38076517	61905814	5459221	0	0	0	0	0	0
FFQ	7	0	0	1787	0	0	0	25724	0	0	48557	96441	247466	0	110203	132655	253281	379522	235935	305653	134609	74392	1443470	1018385	214818	457738	804868	1116035	989610	492116	12246591	78016148	38100394	61892941	4368721	0	0	0	0	0	0
FFQ	8	0	0	0	0	0	0	21632	0	0	44690	90002	226133	0	97356	131723	235508	358002	247815	242867	78036	117396	339136	1029960	967479	496769	900793	1110815	876268	1479895	2361883	12722077	80050382	36501414	62480029	0	0	0	0	0	0
FFQ	9	0	0	0	0	0	0	24582	0	0	46520	91905	238520	4774	105693	123878	239861	357069	276091	247787	131045	122008	462397	1925559	243806	686172	773262	1108993	749118	1389898	6668168	47609139	54748708	51713863	33119244	0	0	0	0	0	0
FFQ	10	0	0	0	0	0	13208	10077	0	46171	50232	177460	90278	14612	211178	118367	267349	350877	155557	232533	79092	319155	1198124	1076937	508890	605400	897806	836974	1664891	700565	12633821	79088730	37312375	62718588	1828813	0	0	0	0	0	0
FFQ	11	0	0	0	0	0	10895	0	10366	0	41807	134797	44911	214590	8863	125828	296493	188541	306908	248662	107288	115470	1248414	1085473	127188	359032	825898	947204	979767	422849	12126136	78281110	38121531	63145440	3682599	0	0	0	0	0	0
FFQ	12	0	0	671	0	0	0	22370	0	0	46491	88906	226854	5114	96738	127166	229476	341512	269278	241737	128422	163509	1179190	1069276	215071	603770	728489	1077921	563085	1975055	12252131	79276453	37323532	63143092	1812751	0	0	0	0	0	0
FFQ	13	0	0	0	0	0	10207	0	10201	0	38946	128167	43338	218001	14205	121323	303349	196341	349684	248631	83335	248146	1139335	1054204	168031	582905	842878	1021165	834088	2008776	11585189	79464990	37294392	63304248	1893985	0	0	0	0	0	0
