# This file was produced by samtools stats (1.12+htslib-1.12) and can be plotted using plot-bamstats
# This file contains statistics for all reads.
# The command line was:  stats -@ 12 /data/13000026/shared/13000026_HELIOS/rpd-sg10k-grch38-gatk4-gvcf-freebayes-vcf/MUX9698/WHB10028/WHB10028.bqsr.cram
# CHK, Checksum	[2]Read Names	[3]Sequences	[4]Qualities
# CHK, CRC32 of reads which passed filtering followed by addition (32bit overflow)
CHK	b06bfcca	b79148a8	250bd323
# Summary Numbers. Use `grep ^SN | cut -f 2-` to extract this part.
SN	raw total sequences:	257156032	# excluding supplementary and secondary reads
SN	filtered sequences:	0
SN	sequences:	257156032
SN	is sorted:	1
SN	1st fragments:	128578016
SN	last fragments:	128578016
SN	reads mapped:	256710916
SN	reads mapped and paired:	256546706	# paired-end technology bit set + both mates mapped
SN	reads unmapped:	445116
SN	reads properly paired:	253021768	# proper-pair bit set
SN	reads paired:	257156032	# paired-end technology bit set
SN	reads duplicated:	35887568	# PCR or optical duplicate bit set
SN	reads MQ0:	16982560	# mapped and MQ=0
SN	reads QC failed:	0
SN	non-primary alignments:	0
SN	supplementary alignments:	1119771
SN	total length:	38830560832	# ignores clipping
SN	total first fragment length:	19415280416	# ignores clipping
SN	total last fragment length:	19415280416	# ignores clipping
SN	bases mapped:	38763348316	# ignores clipping
SN	bases mapped (cigar):	38492000406	# more accurate
SN	bases trimmed:	0
SN	bases duplicated:	5419022768
SN	mismatches:	248890349	# from NM fields
SN	error rate:	6.466028e-03	# mismatches / bases mapped (cigar)
SN	average length:	151
SN	average first fragment length:	151
SN	average last fragment length:	151
SN	maximum length:	151
SN	maximum first fragment length:	151
SN	maximum last fragment length:	151
SN	average quality:	29.8
SN	insert size average:	326.6
SN	insert size standard deviation:	70.3
SN	inward oriented pairs:	126521669
SN	outward oriented pairs:	619118
SN	pairs with other orientation:	82511
SN	pairs on different chromosomes:	1050055
SN	percentage of properly paired reads (%):	98.4
# First Fragment Qualities. Use `grep ^FFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
FFQ	1	0	0	514285	0	0	0	0	0	0	0	0	0	0	0	0	1995216	0	0	0	0	1	0	0	0	2908084	1	0	0	25	0	123160404	0	0	0	0	0	0	0	0	0
FFQ	2	0	19917	2193	0	55176	0	145909	104301	24757	13454	231259	136840	453049	106952	238080	181344	671471	264003	159472	572473	1040168	424108	197360	168419	7395471	4662267	3157265	6165144	24155637	16305736	20007982	13082895	13332290	10899104	4203520	0	0	0	0	0
FFQ	3	0	0	3385	0	0	0	0	11698	0	7995	57708	1	179896	108185	115695	99300	243005	104420	700727	81997	1063195	693559	43	128918	231501	166528	1666006	1825133	2090653	26122641	4853491	34770606	20950754	31662014	638962	0	0	0	0	0
FFQ	4	0	0	105215	0	0	0	0	0	18773	0	0	84863	0	183821	187519	20639	771	385729	138223	630400	92260	757916	836248	13957	93968	268595	193582	1220873	1399750	574608	29308271	1961911	36894550	20588745	32616829	0	0	0	0	0
FFQ	5	0	0	1821	0	0	0	8541	9611	0	34116	39046	75610	161302	72433	17477	151824	204870	304090	321641	25045	130675	835952	637097	60760	229284	129619	835652	945495	406260	642108	30438790	1265595	37002443	20438052	33152804	1	0	2	0	0
FFQ	6	0	0	0	0	0	0	14518	0	0	57253	0	128900	117948	12011	5839	234562	111037	389057	59692	183451	218003	1194105	49646	192037	391974	590554	739138	6079956	3616075	22884992	34054066	28940902	28312300	0	0	0	0	0	0	0
FFQ	7	0	0	293	0	0	0	13156	0	0	50131	0	109966	105659	10405	6201	217445	98700	372879	53392	163213	186672	1271127	41560	179484	352132	521848	663521	6045407	3048883	23357877	34115053	29229003	28364009	0	0	0	0	0	0	0
FFQ	8	0	0	150	0	8380	0	5699	30491	0	89062	56058	54840	53290	122027	41952	310993	36893	238456	145700	66723	184728	1135791	148083	482749	339050	382110	604329	6386606	2903445	22892858	34028957	29281781	28546815	0	0	0	0	0	0	0
FFQ	9	0	0	0	0	0	14888	0	0	52395	0	118333	106926	5176	11550	215731	75427	380943	51304	88835	136848	172738	1215770	110897	170618	542977	643998	473212	6090286	2839965	23580699	33826103	29252625	28399772	0	0	0	0	0	0	0
FFQ	10	0	12627	0	27365	0	78344	61153	5356	28180	119701	124012	254414	38454	26846	169705	59787	212612	222344	350148	242246	520803	1477981	469546	647927	451604	238150	1277470	6126956	2850672	24070061	33138140	27984317	27291095	0	0	0	0	0	0	0
